formula,proto_uid,proto_formula,proto_layergroup,proto_lgnum,proto_international,proto_bravais_type,proto_gap_hse,proto_ehull,proto_dyn_stab,substitution,s_chem_rf,src_en,tgt_en,substitution_en_delta,src_radius,tgt_radius,substitution_radius_delta,substitution_radius_delta_frac,substitution_risk,needs_relaxation,reduced_formula,candidate_layergroup,candidate_layergroup_norm,exists_same_formula,exists_same_formula_layergroup,novelty_class,matched_c2db_uids,matched_c2db_layergroups,matched_same_lg_uids,matched_same_lg_gap_hse,matched_same_lg_gap_pbe,matched_same_lg_ehull,matched_same_lg_dyn_stab,candidate_index,gap_pred,is_uwbg,gap_bin,m3gnet_energy_pa,is_novel
PF3,2SbF3-1,SbF3,p-3,66,P-3,Hexagonal (hp),6.459002884347144,0.0,Yes,Sb→P,0.56,2.05,2.19,0.14000000000000012,1.33,0.98,0.3500000000000001,0.26315789473684215,medium,True,PF3,p-3,p-3,False,False,new_composition,,,,,,,,651,6.621382713317871,True,6-8,,True
Si2Cl2O3,1Cl2Ge2O3-1,Ge2Cl2O3,cm11,13,Cm,Centered rectangular (oc),4.461627490214204,0.06441106126605765,Yes,Ge→Si,0.565,2.01,1.9,0.10999999999999988,1.25,1.11,0.1399999999999999,0.11199999999999992,low,False,Si2Cl2O3,cm11,cm11,False,False,new_composition,,,,,,,,11,6.542701244354248,True,6-8,,True
PCClO3,2ClGePO3-1,GePClO3,p11a,5,Pc,Oblique (mp),5.831420452682101,0.0,Yes,Ge→C,0.635,2.01,2.55,0.54,1.25,0.67,0.58,0.46399999999999997,high,True,PCClO3,p11a,p11a,False,False,new_composition,,,,,,,,555,6.530910015106201,True,6-8,,True
Mg(AlH4)2,1MgB2H8-1,Mg(BH4)2,p-3m1,72,P-3m1,Hexagonal (hp),7.486423969633201,0.03965224830509972,Yes,B→Al,0.59,2.04,1.61,0.42999999999999994,0.87,1.18,0.30999999999999994,0.3563218390804597,high,True,Mg(AlH4)2,p-3m1,p-3m1,False,False,new_composition,,,,,,,,613,6.527933597564697,True,6-8,,True
NaSiNO,2CNNaO-1,NaCNO,pm2_1n,32,Pmn2_1,Rectangular (op),6.126999170941806,0.02746345176679965,Yes,C→Si,0.915,2.55,1.9,0.6499999999999999,0.67,1.11,0.44000000000000006,0.6567164179104478,high,True,NaSiNO,pm2_1n,pm2_1n,False,False,new_composition,,,,,,,,54,6.48742151260376,True,6-8,,True
MgCuF3,2CuMgI3-1,MgCuI3,p-31m,71,P-31m,Hexagonal (hp),4.017883932987779,0.020512095773533457,Yes,I→F,0.735,2.66,3.98,1.3199999999999998,1.15,0.42,0.73,0.6347826086956522,high,True,MgCuF3,p-31m,p-31m,False,False,new_composition,,,,,,,,257,6.482892036437988,True,6-8,,True
MgGa2F8,1MgB2F8-1,MgB2F8,p-3m1,72,P-3m1,Hexagonal (hp),10.617772574966027,0.0,Yes,B→Ga,0.865,2.04,1.81,0.22999999999999998,0.87,1.36,0.4900000000000001,0.5632183908045978,high,True,MgGa2F8,p-3m1,p-3m1,False,False,new_composition,,,,,,,,622,6.472518444061279,True,6-8,,True
SrHF,2BrHSr-1,SrHBr,p4/nmm,64,P4/nmm,Square (tp),5.479165700056493,0.0,Yes,Br→F,0.915,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,SrHF,p4/nmm,p4/nmm,False,False,new_composition,,,,,,,,441,6.466841220855713,True,6-8,,True
RbSbO3,2NRbO3-1,RbNO3,p2_1/m11,15,P2_1/m,Rectangular (op),5.286226532964832,0.0,Yes,N→Sb,0.725,3.04,2.05,0.9900000000000002,0.56,1.33,0.77,1.375,high,True,RbSbO3,p2_1/m11,p2_1/m11,False,False,new_composition,,,,,,,,286,6.4385600090026855,True,6-8,,True
CaHF,2CaHI-1,CaHI,p4/nmm,64,P4/nmm,Square (tp),4.708604721714976,0.0,Yes,I→F,0.91,2.66,3.98,1.3199999999999998,1.15,0.42,0.73,0.6347826086956522,high,True,CaHF,p4/nmm,p4/nmm,False,False,new_composition,,,,,,,,367,6.426338195800781,True,6-8,,True
