formula,proto_uid,proto_formula,proto_layergroup,proto_lgnum,proto_international,proto_bravais_type,proto_gap_hse,proto_ehull,proto_dyn_stab,substitution,s_chem_rf,src_en,tgt_en,substitution_en_delta,src_radius,tgt_radius,substitution_radius_delta,substitution_radius_delta_frac,substitution_risk,needs_relaxation,reduced_formula,candidate_layergroup,candidate_layergroup_norm,exists_same_formula,exists_same_formula_layergroup,novelty_class,matched_c2db_uids,matched_c2db_layergroups,matched_same_lg_uids,matched_same_lg_gap_hse,matched_same_lg_gap_pbe,matched_same_lg_ehull,matched_same_lg_dyn_stab,candidate_index,gap_pred,is_uwbg,gap_bin
ScSBr,2BrSY-2,YSBr,p-3m1,72,P-3m1,Hexagonal (hp),4.218555790040501,0.07085055526950867,Yes,Y→Sc,0.565,1.22,1.36,0.14000000000000012,2.12,1.84,0.28,0.1320754716981132,low,False,ScSBr,p-3m1,p-3m1,True,False,known_composition_new_layergroup,2BrSSc-1;4BrSSc-1,pmmn;p2_1/m11,,,,,,457,4.018387794494629,True,4-6
CrF2,2ClCrF-1,CrClF,pm2_1n,32,Pmn2_1,Rectangular (op),3.731302211841225,0.13028953698662674,Yes,Cl→F,0.625,3.16,3.98,0.8199999999999998,0.79,0.42,0.37000000000000005,0.4683544303797469,high,True,CrF2,pm2_1n,pm2_1n,True,False,known_composition_new_layergroup,1CrF2-3;1CrF2-1;1CrF2-2;2CrF2-1;2CrF2-2,p-4m2;p-6m2;p-3m1;p2_1/b11;c2/m11,,,,,,459,5.739686012268066,True,4-6
CrBrF,2ClCrF-1,CrClF,pm2_1n,32,Pmn2_1,Rectangular (op),3.731302211841225,0.13028953698662674,Yes,Cl→Br,0.605,3.16,2.96,0.20000000000000018,0.79,0.94,0.1499999999999999,0.18987341772151886,medium,True,CrBrF,pm2_1n,pm2_1n,True,False,known_composition_new_layergroup,1BrCrF-1;2BrCrF-1,p3m1;p112/a,,,,,,460,2.7857460975646973,False,2-4
CrICl,2ClCrF-2,CrClF,cm11,13,Cm,Centered rectangular (oc),3.853212465668102,0.15023784988791977,Yes,F→I,0.505,3.98,2.66,1.3199999999999998,0.42,1.15,0.73,1.7380952380952381,high,True,CrICl,cm11,cm11,True,False,known_composition_new_layergroup,1ClCrI-1;1ClCrI-2,p3m1,,,,,,461,1.636600375175476,False,0-2
ZnBrCl,2ClFZn-1,ZnClF,p2_1/m11,15,P2_1/m,Rectangular (op),5.535399397814436,0.0414185784604714,Yes,F→Br,0.64,3.98,2.96,1.02,0.42,0.94,0.52,1.2380952380952381,high,True,ZnBrCl,p2_1/m11,p2_1/m11,True,False,known_composition_new_layergroup,2BrClZn-1;2BrClZn-2;1BrClZn-1;4BrClZn-1,pm2_1b;pmm2;p3m1;pbma,,,,,,467,2.000532627105713,False,2-4
NiCl2,1BrClNi-1,NiBrCl,p3m1,69,P3m1,Hexagonal (hp),3.507624635385338,0.006088586764410486,Yes,Br→Cl,0.61,2.96,3.16,0.20000000000000018,0.94,0.79,0.1499999999999999,0.1595744680851063,medium,True,NiCl2,p3m1,p3m1,True,False,known_composition_new_layergroup,4NiCl2-1;1NiCl2-3;1NiCl2-1;1NiCl2-2,p2_1/b11;p-6m2;p-3m1;p-4m2,,,,,,469,3.7609734535217285,True,2-4
SnF2,2ClFSn-1,SnClF,pm2_1b,28,Pmc2_1,Rectangular (op),3.807575017078745,0.07881702380398004,Yes,Cl→F,0.51,3.16,3.98,0.8199999999999998,0.79,0.42,0.37000000000000005,0.4683544303797469,high,True,SnF2,pm2_1b,pm2_1b,True,False,known_composition_new_layergroup,2SnF2-1;2SnF2-2;6SnF2-1;4SnF2-3;4SnF2-2;4SnF2-1;1SnF2-2;1SnF2-1;1SnF2-3,pmma;p211;p1;pmmn;pbma;p-4m2;p-3m1;p-6m2,,,,,,476,4.889323711395264,True,4-6
GaCl3,1BrGa2Cl5-1,Ga2BrCl5,cm11,13,Cm,Centered rectangular (oc),4.578774907575783,0.021961594943228135,Yes,Br→Cl,0.83,2.96,3.16,0.20000000000000018,0.94,0.79,0.1499999999999999,0.1595744680851063,medium,True,GaCl3,cm11,cm11,True,False,known_composition_new_layergroup,2GaCl3-1;2GaCl3-2,p-31m;p-62m,,,,,,493,5.299587726593018,True,4-6
NaBr,6BrLi-2,LiBr,p3m1,69,P3m1,Hexagonal (hp),5.928555004782295,0.05204925768889742,Yes,Li→Na,0.96,0.98,0.93,0.04999999999999993,1.67,1.9,0.22999999999999998,0.1377245508982036,low,False,NaBr,p3m1,p3m1,True,False,known_composition_new_layergroup,3BrNa-1;2BrNa-1;12BrNa-1,p4/mmm;p4/nmm,,,,,,495,5.4224748611450195,True,4-6
KBr,6BrLi-2,LiBr,p3m1,69,P3m1,Hexagonal (hp),5.928555004782295,0.05204925768889742,Yes,Li→K,0.965,0.98,0.82,0.16000000000000003,1.67,2.43,0.7600000000000002,0.4550898203592816,high,True,KBr,p3m1,p3m1,True,False,known_composition_new_layergroup,2BrK-1;3BrK-1,p4/nmm;p4/mmm,,,,,,496,4.7635498046875,True,4-6
