formula,proto_uid,proto_formula,proto_layergroup,proto_lgnum,proto_international,proto_bravais_type,proto_gap_hse,proto_ehull,proto_dyn_stab,substitution,s_chem_rf,src_en,tgt_en,substitution_en_delta,src_radius,tgt_radius,substitution_radius_delta,substitution_radius_delta_frac,substitution_risk,needs_relaxation,reduced_formula,candidate_layergroup,candidate_layergroup_norm,exists_same_formula,exists_same_formula_layergroup,novelty_class,matched_c2db_uids,matched_c2db_layergroups,matched_same_lg_uids,matched_same_lg_gap_hse,matched_same_lg_gap_pbe,matched_same_lg_ehull,matched_same_lg_dyn_stab,candidate_index,gap_pred,is_uwbg,gap_bin
SrIBr,1BaBrI-1,BaIBr,p3m1,69,P3m1,Hexagonal (hp),5.177247334371238,0.041636506657886464,Yes,Ba→Sr,0.96,0.89,0.95,0.05999999999999994,2.53,2.19,0.33999999999999986,0.13438735177865607,low,False,SrIBr,p3m1,p3m1,True,True,known_material,1BrISr-1,p3m1,1BrISr-1,5.046618024914997,4.109461240530125,0.010735157067604936,Yes,359,5.587827682495117,True,4-6
BaBrCl,1BaBrI-1,BaIBr,p3m1,69,P3m1,Hexagonal (hp),5.177247334371238,0.041636506657886464,Yes,I→Cl,0.975,2.66,3.16,0.5,1.15,0.79,0.3599999999999999,0.3130434782608695,high,True,BaBrCl,p3m1,p3m1,True,True,known_material,1BaBrCl-1;2BaBrCl-1,p3m1;p4/nmm,1BaBrCl-1,6.257067660276618,5.090557575736565,0.08433058119849068,Yes,361,2.7266130447387695,False,2-4
BaICl,1BaBrI-1,BaIBr,p3m1,69,P3m1,Hexagonal (hp),5.177247334371238,0.041636506657886464,Yes,Br→Cl,0.98,2.96,3.16,0.20000000000000018,0.94,0.79,0.1499999999999999,0.1595744680851063,medium,True,BaICl,p3m1,p3m1,True,True,known_material,1BaClI-1;2BaClI-1;2BaClI-2,p3m1;p4/nmm;pm2_1n,1BaClI-1,5.10609650454491,4.103228532285671,0.07508134626567149,Yes,363,4.905890941619873,True,4-6
ZrNF,2FHfN-1,HfNF,pmmn,46,Pmmn,Rectangular (op),3.5497319843159034,0.0,Yes,Hf→Zr,0.55,1.3,1.33,0.030000000000000027,2.08,2.06,0.020000000000000018,0.009615384615384623,low,False,ZrNF,pmmn,pmmn,True,True,known_material,2FNZr-1;4FNZr-1,p-3m1;pmmn,4FNZr-1,3.2933184290796476,1.9341101477564662,0.0,Yes,366,3.329361915588379,False,2-4
CaHCl,2CaHI-1,CaHI,p4/nmm,64,P4/nmm,Square (tp),4.708604721714976,0.0,Yes,I→Cl,0.95,2.66,3.16,0.5,1.15,0.79,0.3599999999999999,0.3130434782608695,high,True,CaHCl,p4/nmm,p4/nmm,True,True,known_material,2CaClH-1,p4/nmm,2CaClH-1,5.233449755490089,3.9244524368202764,0.0032213257852049537,Yes,368,5.151963233947754,True,4-6
CaHBr,2CaHI-1,CaHI,p4/nmm,64,P4/nmm,Square (tp),4.708604721714976,0.0,Yes,I→Br,0.935,2.66,2.96,0.2999999999999998,1.15,0.94,0.20999999999999996,0.18260869565217389,medium,True,CaHBr,p4/nmm,p4/nmm,True,True,known_material,2BrCaH-1,p4/nmm,2BrCaH-1,5.5311854491140044,4.194451569662164,0.0,Yes,369,5.426795959472656,True,4-6
SrHI,2CaHI-1,CaHI,p4/nmm,64,P4/nmm,Square (tp),4.708604721714976,0.0,Yes,Ca→Sr,0.94,1.0,0.95,0.050000000000000044,1.94,2.19,0.25,0.1288659793814433,low,False,SrHI,p4/nmm,p4/nmm,True,True,known_material,2HISr-1,p4/nmm,2HISr-1,4.8884189702856204,3.8266589530014574,0.0,Yes,372,4.243701934814453,True,4-6
BaHI,2CaHI-1,CaHI,p4/nmm,64,P4/nmm,Square (tp),4.708604721714976,0.0,Yes,Ca→Ba,0.915,1.0,0.89,0.10999999999999999,1.94,2.53,0.5899999999999999,0.3041237113402061,high,True,BaHI,p4/nmm,p4/nmm,True,True,known_material,2BaHI-1,p4/nmm,2BaHI-1,4.218619347645864,3.2459388531231053,0.01624428014738477,Yes,373,3.3453292846679688,False,2-4
CaBrCl,2BrCaI-1,CaIBr,p3m1,69,P3m1,Hexagonal (hp),5.000309558867139,0.003386199682551272,Yes,I→Cl,0.955,2.66,3.16,0.5,1.15,0.79,0.3599999999999999,0.3130434782608695,high,True,CaBrCl,p3m1,p3m1,True,True,known_material,2BrCaCl-3;2BrCaCl-2;2BrCaCl-1,p4/nmm;p2_1/m11;p3m1,2BrCaCl-1,6.503436073794257,5.0479232813461685,0.00484854759507769,Yes,375,6.099210262298584,True,6-8
BaIBr,2BrCaI-1,CaIBr,p3m1,69,P3m1,Hexagonal (hp),5.000309558867139,0.003386199682551272,Yes,Ca→Ba,0.945,1.0,0.89,0.10999999999999999,1.94,2.53,0.5899999999999999,0.3041237113402061,high,True,BaIBr,p3m1,p3m1,True,True,known_material,1BaBrI-1,p3m1,1BaBrI-1,5.177247334371238,4.136566008452455,0.041636506657886464,Yes,376,3.875349521636963,True,2-4
