formula,proto_uid,proto_formula,proto_layergroup,proto_lgnum,proto_international,proto_bravais_type,proto_gap_hse,proto_ehull,proto_dyn_stab,substitution,s_chem_rf,src_en,tgt_en,substitution_en_delta,src_radius,tgt_radius,substitution_radius_delta,substitution_radius_delta_frac,substitution_risk,needs_relaxation,reduced_formula,candidate_layergroup,candidate_layergroup_norm,exists_same_formula,exists_same_formula_layergroup,novelty_class,matched_c2db_uids,matched_c2db_layergroups,matched_same_lg_uids,matched_same_lg_gap_hse,matched_same_lg_gap_pbe,matched_same_lg_ehull,matched_same_lg_dyn_stab,candidate_index,gap_pred,is_uwbg,gap_bin
HSe2NO6,1HSbSe2O6-1,SbH(SeO3)2,cm11,13,Cm,Centered rectangular (oc),4.43058901937219,0.0,Yes,Sb→N,0.41,2.05,3.04,0.9900000000000002,1.33,0.56,0.77,0.5789473684210527,high,True,HSe2NO6,cm11,cm11,False,False,new_composition,,,,,,,,26,2.9169998168945312,False,2-4
C2Cl2O3,1Cl2Ge2O3-1,Ge2Cl2O3,cm11,13,Cm,Centered rectangular (oc),4.461627490214204,0.06441106126605765,Yes,Ge→C,0.45,2.01,2.55,0.54,1.25,0.67,0.58,0.46399999999999997,high,True,C2Cl2O3,cm11,cm11,False,False,new_composition,,,,,,,,27,6.067653656005859,True,6-8
Si2Cl2O3,1Cl2Ge2O3-1,Ge2Cl2O3,cm11,13,Cm,Centered rectangular (oc),4.461627490214204,0.06441106126605765,Yes,Ge→Si,0.565,2.01,1.9,0.10999999999999988,1.25,1.11,0.1399999999999999,0.11199999999999992,low,False,Si2Cl2O3,cm11,cm11,False,False,new_composition,,,,,,,,28,6.542701244354248,True,6-8
Ge2O3F2,1Cl2Ge2O3-1,Ge2Cl2O3,cm11,13,Cm,Centered rectangular (oc),4.461627490214204,0.06441106126605765,Yes,Cl→F,0.555,3.16,3.98,0.8199999999999998,0.79,0.42,0.37000000000000005,0.4683544303797469,high,True,Ge2O3F2,cm11,cm11,False,False,new_composition,,,,,,,,29,5.06586217880249,True,4-6
Ge2I2O3,1Cl2Ge2O3-1,Ge2Cl2O3,cm11,13,Cm,Centered rectangular (oc),4.461627490214204,0.06441106126605765,Yes,Cl→I,0.095,3.16,2.66,0.5,0.79,1.15,0.3599999999999999,0.4556962025316454,high,True,Ge2I2O3,cm11,cm11,False,False,new_composition,,,,,,,,30,2.279552936553955,False,2-4
Ge2Br2O3,1Cl2Ge2O3-1,Ge2Cl2O3,cm11,13,Cm,Centered rectangular (oc),4.461627490214204,0.06441106126605765,Yes,Cl→Br,0.345,3.16,2.96,0.20000000000000018,0.79,0.94,0.1499999999999999,0.18987341772151886,medium,True,Ge2Br2O3,cm11,cm11,False,False,new_composition,,,,,,,,31,3.9047584533691406,True,2-4
CuAuF2,1AuCuBr2-1,CuAuBr2,c2/m11,18,C2/m,Centered rectangular (oc),3.532973836507794,0.01760733084157412,Yes,Br→F,0.13,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,CuAuF2,c2/m11,c2/m11,False,False,new_composition,,,,,,,,32,0.616937518119812,False,0-2
CuAuCl2,1AuCuBr2-1,CuAuBr2,c2/m11,18,C2/m,Centered rectangular (oc),3.532973836507794,0.01760733084157412,Yes,Br→Cl,0.22,2.96,3.16,0.20000000000000018,0.94,0.79,0.1499999999999999,0.1595744680851063,medium,True,CuAuCl2,c2/m11,c2/m11,False,False,new_composition,,,,,,,,33,3.647550106048584,True,2-4
CuAuI2,1AuCuBr2-1,CuAuBr2,c2/m11,18,C2/m,Centered rectangular (oc),3.532973836507794,0.01760733084157412,Yes,Br→I,0.05,2.96,2.66,0.2999999999999998,0.94,1.15,0.20999999999999996,0.2234042553191489,medium,True,CuAuI2,c2/m11,c2/m11,False,False,new_composition,,,,,,,,34,2.8426971435546875,False,2-4
VClO2,2ClTaO2-1,TaClO2,pmma,41,Pmma,Rectangular (op),4.040024234385061,0.0,Yes,Ta→V,0.425,1.5,1.63,0.1299999999999999,2.0,1.71,0.29000000000000004,0.14500000000000002,low,False,VClO2,pmma,pmma,False,False,new_composition,,,,,,,,35,0.7036471366882324,False,0-2
NbClO2,2ClTaO2-1,TaClO2,pmma,41,Pmma,Rectangular (op),4.040024234385061,0.0,Yes,Ta→Nb,0.58,1.5,1.6,0.10000000000000009,2.0,1.98,0.020000000000000018,0.010000000000000009,low,False,NbClO2,pmma,pmma,True,False,known_composition_new_layergroup,2ClNbO2-1,p2_1/m11,,,,,,36,3.6677417755126953,True,2-4
TaIO2,2ClTaO2-1,TaClO2,pmma,41,Pmma,Rectangular (op),4.040024234385061,0.0,Yes,Cl→I,0.055,3.16,2.66,0.5,0.79,1.15,0.3599999999999999,0.4556962025316454,high,True,TaIO2,pmma,pmma,True,True,known_material,2ITaO2-1,pmma,2ITaO2-1,1.75534131235199,0.6144086118236249,0.0,Yes,37,1.5413950681686401,False,0-2
TaBrO2,2ClTaO2-1,TaClO2,pmma,41,Pmma,Rectangular (op),4.040024234385061,0.0,Yes,Cl→Br,0.255,3.16,2.96,0.20000000000000018,0.79,0.94,0.1499999999999999,0.18987341772151886,medium,True,TaBrO2,pmma,pmma,True,True,known_material,2BrTaO2-1,pmma,2BrTaO2-1,3.107046506666974,1.643527278789879,4.440892098500626e-16,Yes,38,3.277127265930176,False,2-4
TaO2F,2ClTaO2-1,TaClO2,pmma,41,Pmma,Rectangular (op),4.040024234385061,0.0,Yes,Cl→F,0.61,3.16,3.98,0.8199999999999998,0.79,0.42,0.37000000000000005,0.4683544303797469,high,True,TaO2F,pmma,pmma,False,False,new_composition,,,,,,,,39,4.5384111404418945,True,4-6
CuAgCl2,1AgCuBr2-1,CuAgBr2,c2/m11,18,C2/m,Centered rectangular (oc),3.7993428901398616,0.005489910104213402,Yes,Br→Cl,0.25,2.96,3.16,0.20000000000000018,0.94,0.79,0.1499999999999999,0.1595744680851063,medium,True,CuAgCl2,c2/m11,c2/m11,False,False,new_composition,,,,,,,,40,3.4293999671936035,True,2-4
CuAgF2,1AgCuBr2-1,CuAgBr2,c2/m11,18,C2/m,Centered rectangular (oc),3.7993428901398616,0.005489910104213402,Yes,Br→F,0.15,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,CuAgF2,c2/m11,c2/m11,False,False,new_composition,,,,,,,,41,1.249686360359192,False,0-2
CuAgI2,1AgCuBr2-1,CuAgBr2,c2/m11,18,C2/m,Centered rectangular (oc),3.7993428901398616,0.005489910104213402,Yes,Br→I,0.075,2.96,2.66,0.2999999999999998,0.94,1.15,0.20999999999999996,0.2234042553191489,medium,True,CuAgI2,c2/m11,c2/m11,True,False,known_composition_new_layergroup,1AgCuI2-1,p1,,,,,,42,3.172550678253174,False,2-4
AgAuI2,1AgAuBr2-1,AgAuBr2,c2/m11,18,C2/m,Centered rectangular (oc),3.5500887206249545,0.0,Yes,Br→I,0.025,2.96,2.66,0.2999999999999998,0.94,1.15,0.20999999999999996,0.2234042553191489,medium,True,AgAuI2,c2/m11,c2/m11,False,False,new_composition,,,,,,,,43,2.8556628227233887,False,2-4
AgAuCl2,1AgAuBr2-1,AgAuBr2,c2/m11,18,C2/m,Centered rectangular (oc),3.5500887206249545,0.0,Yes,Br→Cl,0.33,2.96,3.16,0.20000000000000018,0.94,0.79,0.1499999999999999,0.1595744680851063,medium,True,AgAuCl2,c2/m11,c2/m11,False,False,new_composition,,,,,,,,44,3.6590042114257812,True,2-4
AgAuF2,1AgAuBr2-1,AgAuBr2,c2/m11,18,C2/m,Centered rectangular (oc),3.5500887206249545,0.0,Yes,Br→F,0.11,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,AgAuF2,c2/m11,c2/m11,False,False,new_composition,,,,,,,,45,1.5992027521133423,False,0-2
NbIO2,2BrNbO2-1,NbBrO2,p2_1/m11,15,P2_1/m,Rectangular (op),3.4687266859580994,0.0,Yes,Br→I,0.1,2.96,2.66,0.2999999999999998,0.94,1.15,0.20999999999999996,0.2234042553191489,medium,True,NbIO2,p2_1/m11,p2_1/m11,True,True,known_material,2INbO2-1,p2_1/m11,2INbO2-1,2.29497312387122,1.1880844616578965,0.0,Yes,46,1.9503648281097412,False,0-2
NbO2F,2BrNbO2-1,NbBrO2,p2_1/m11,15,P2_1/m,Rectangular (op),3.4687266859580994,0.0,Yes,Br→F,0.625,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,NbO2F,p2_1/m11,p2_1/m11,True,False,known_composition_new_layergroup,2FNbO2-1,p1,,,,,,47,4.723151683807373,True,4-6
VBrO2,2BrNbO2-1,NbBrO2,p2_1/m11,15,P2_1/m,Rectangular (op),3.4687266859580994,0.0,Yes,Nb→V,0.405,1.6,1.63,0.029999999999999805,1.98,1.71,0.27,0.13636363636363638,low,False,VBrO2,p2_1/m11,p2_1/m11,False,False,new_composition,,,,,,,,48,2.0455522537231445,False,2-4
LiO2F,2BrLiO2-1,LiBrO2,p-42_1m,58,P-42_1m,Square (tp),4.325519864113333,0.0921545568641815,Yes,Br→F,0.925,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,LiO2F,p-42_1m,p-42_1m,True,True,known_material,2FLiO2-1,p-42_1m,2FLiO2-1,,,1.348310565886042,Unknown,49,3.1110410690307617,False,2-4
LiIO2,2BrLiO2-1,LiBrO2,p-42_1m,58,P-42_1m,Square (tp),4.325519864113333,0.0921545568641815,Yes,Br→I,0.835,2.96,2.66,0.2999999999999998,0.94,1.15,0.20999999999999996,0.2234042553191489,medium,True,LiIO2,p-42_1m,p-42_1m,True,True,known_material,2ILiO2-1,p-42_1m,2ILiO2-1,,,0.10381505167347926,Unknown,50,4.957110404968262,True,4-6
LiClO2,2BrLiO2-1,LiBrO2,p-42_1m,58,P-42_1m,Square (tp),4.325519864113333,0.0921545568641815,Yes,Br→Cl,0.875,2.96,3.16,0.20000000000000018,0.94,0.79,0.1499999999999999,0.1595744680851063,medium,True,LiClO2,p-42_1m,p-42_1m,True,True,known_material,2ClLiO2-1,p-42_1m,2ClLiO2-1,5.196933542303896,3.3471805718311938,0.15338332760737283,Yes,51,3.3293275833129883,False,2-4
