uid,formula,reduced_formula,natoms,ehull,hform,gap_pbe,gap_hse,dyn_stab,layergroup,lgnum,international,bravais_type,layergroup_norm
2SeZn-2,Zn2Se2,ZnSe,4,0.15710608426703887,-0.5615135753372908,2.0415314669042957,3.0537453271106134,Yes,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
2BiGa-1,Bi2Ga2,GaBi,4,0.06826115476764505,0.06826115476764505,0.03103860710858619,,Yes,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
2AgBr-1,Ag2Br2,AgBr,4,0.009141666923021818,-0.33830501723343653,1.7238042684096084,2.9623770335906077,Yes,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2AgBr-3,Ag2Br2,AgBr,4,0.016682714559221046,-0.3307639695972373,1.8342612892247436,3.0915123928650945,Yes,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
2AgBr-2,Ag2Br2,AgBr,4,0.010122649385717664,-0.3373240347707407,2.443795497814329,3.6168684042618606,Yes,cmme,48,Cmme,Centered rectangular (oc),cmme
2AgBr-5,Ag2Br2,AgBr,4,0.043216568670274624,-0.3042301154861837,2.118784821181257,,No,p2/m11,14,P2/m,Rectangular (op),p2/m11
2AgBr-6,Ag2Br2,AgBr,4,0.05506075999433341,-0.29238592416212494,2.2690978991676327,,No,pb2_1m,29,Pmc2_1,Rectangular (op),pb2_1m
2AgBr-4,Ag2Br2,AgBr,4,0.03714419080662262,-0.31030249334983573,1.2772701025841355,,No,p2_1/m11,15,P2_1/m,Rectangular (op),p2_1/m11
2CoI-2,Co2I2,CoI,4,0.282909550893398,0.19091253157164356,0.03661711474733276,,Yes,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2CoI-3,Co2I2,CoI,4,0.3230596926852186,0.2310626733634642,0.0,,No,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
2CoI-1,Co2I2,CoI,4,0.27950018473878957,0.18750316541703516,,,Unknown,p-1,2,P-1,Oblique (mp),p-1
1SSn-1,SnS,SnS,2,0.11758074804436447,-0.33991759556240275,2.2886290308319213,2.9777847514966638,Yes,p3m1,69,P3m1,Hexagonal (hp),p3m1
4CuTe-1,Cu4Te4,CuTe,8,0.02939188311862795,-0.05955634713032465,0.0,,No,p112/a,7,P2/c,Oblique (mp),p112/a
2MnS-7,Mn2S2,MnS,4,0.3135008034818849,-0.17520282289111488,0.0,,Unknown,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2MnS-5,Mn2S2,MnS,4,0.29772677947118087,-0.19097684690181893,0.0,,Yes,p-6m2,78,P-6m2,Hexagonal (hp),p-6m2
2MnS-3,Mn2S2,MnS,4,0.12083981545214328,-0.3678638109208565,0.0,,No,p4/mmm,61,P4/mmm,Square (tp),p4/mmm
2MnS-4,Mn2S2,MnS,4,0.1342484014969818,-0.354455224876018,0.0,,Yes,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2MnS-6,Mn2S2,MnS,4,0.31303695343997795,-0.17566667293302185,0.0,,No,p2/m11,14,P2/m,Rectangular (op),p2/m11
2MnS-1,Mn2S2,MnS,4,0.0,-0.4887036263729998,0.0,,No,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
2MnS-2,Mn2S2,MnS,4,0.07653462982442782,-0.412168996548572,0.0,,Yes,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
2HPt-1,Pt2H2,HPt,4,0.018058056170726644,0.018058056170726644,0.0,,Yes,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
6ClRb-1,Rb6Cl6,RbCl,12,0.04397207588804145,-1.9247597069453601,4.690534622382894,5.935966092269205,Yes,p4/mmm,61,P4/mmm,Square (tp),p4/mmm
2HMn-1,Mn2H2,MnH,4,0.10073737195184229,0.10073737195184229,,,Unknown,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2FP-1,F2P2,PF,4,0.1707706445058852,-1.3839439275941627,,,Unknown,p2_1/m11,15,P2_1/m,Rectangular (op),p2_1/m11
