uid,formula,gap_pbe,gap_hse_true,gap_hse_pred,class,ehull,hform,thickness,is_magnetic,dyn_stab,natoms,n_species,has_F,has_Cl,has_Br,has_I,has_O,has_N,has_S,has_halide,has_alkali,has_alkaline_earth,has_transition_metal,mean_en,max_en,min_en,range_en,mean_period,max_period,mean_group,mean_cov_radius,mean_atomic_mass,dyn_stab_yes
1PdLi2H6O6-1,Li2H6PdO6,2.434153821407311,4.305871141644152,4.367431640625,TP,0.05307078787776097,-1.1339551745068515,3.635832347320214,0,Yes,15,4,0,0,0,0,1,0,0,0,1,0,1,2.205,3.44,0.98,2.46,2.5,5.0,7.0,1.0925,32.592085000000004,1
2Sb2O3-4,Sb2O3,3.074115835125117,,4.366239547729492,Novel,0.03563508859518407,-1.3261561762833978,3.8582135716712003,0,No,10,2,0,0,0,0,1,0,0,0,0,0,0,2.745,3.44,2.05,1.3900000000000001,3.5,5.0,15.5,0.905,68.8797,0
1MgI2-2,MgI2,3.456193203219589,4.438057623690798,4.365619659423828,TP,0.03953939326748657,-1.0420999297759972,3.3735570167523328,0,Yes,3,2,0,0,0,1,0,0,0,1,0,1,0,1.985,2.66,1.31,1.35,4.0,5.0,9.5,1.2999999999999998,75.604735,1
1Mo2Ta2O11-1,Ta2Mo2O11,2.5657066643955173,4.348665095075862,4.364622116088867,TP,0.0012753016441635623,-2.470690424592268,9.164364329220843,0,Yes,15,3,0,0,0,0,1,0,0,0,0,0,1,2.3666666666666667,3.44,1.5,1.94,4.333333333333333,6.0,9.0,1.46,97.62909333333333,1
2ClSY-3,YSCl,3.327921583717906,4.4978003527982935,4.361824989318848,TP,0.11109439275270105,-2.136728350780905,6.727207102206426,0,Yes,6,3,0,1,0,0,0,0,1,1,0,0,1,2.32,3.16,1.22,1.9400000000000002,3.6666666666666665,5.0,12.0,1.2633333333333334,52.14128333333334,1
1PbNa2H6O6-1,Na2H6PbO6,2.903872243909696,4.410436855787237,4.360832691192627,TP,0.0,-1.186505579938386,3.8632499390042625,0,Yes,15,4,0,0,0,0,1,0,0,0,1,0,0,2.225,3.44,0.93,2.51,3.0,6.0,8.0,1.1124999999999998,61.79927732,1
4LiSbO2-2,LiSbO2,3.296680897004721,4.4696488437103215,4.359584331512451,TP,0.0031856742320321985,-1.6781456761458378,5.405303004316854,0,Yes,16,3,0,0,0,0,1,0,0,0,1,0,0,2.1566666666666667,3.44,0.98,2.46,3.0,5.0,10.666666666666666,1.16,48.233466666666665,1
2CsSHg2Br3O3-1,CsHg2S(BrO)3,2.9161783872841927,,4.355831146240234,Novel,0.0320700984587738,-1.0588273256296241,11.659020329384898,0,No,20,5,0,0,1,0,1,0,1,1,1,0,1,2.354,3.44,0.79,2.65,4.2,6.0,12.4,1.3980000000000001,92.29277038000001,0
1TlF3-1,TlF3,2.5232955735818825,,4.353310585021973,Novel,0.0,-1.908887380685564,2.768961975899142,0,No,4,2,1,0,0,0,0,0,0,1,0,0,0,2.8,3.98,1.62,2.36,4.0,6.0,15.0,0.99,111.6908516,0
2TlF3-4,TlF3,2.927010261205612,,4.352439880371094,Novel,0.04072807316403848,-1.8681593075215255,2.654819115603127,0,No,8,2,1,0,0,0,0,0,0,1,0,0,0,2.8,3.98,1.62,2.36,4.0,6.0,15.0,0.99,111.6908516,0
2STe2O7-1,Te2SO7,3.1936719535502163,4.608542776605175,4.3514933586120605,TP,0.0257540734935958,-1.1685108756183127,9.033260553489171,0,Yes,20,3,0,0,0,0,1,0,1,0,0,0,0,2.7066666666666666,3.44,2.1,1.3399999999999999,3.3333333333333335,5.0,16.0,0.8633333333333333,58.5548,1
2GeO-2,GeO,2.101523904862788,,4.349030494689941,Novel,0.1599308152856347,-1.076195940782255,2.11352033830536,0,Unknown,4,2,0,0,0,0,1,0,0,0,0,0,0,2.7249999999999996,3.44,2.01,1.4300000000000002,3.0,4.0,15.0,0.865,44.3197,0
2BrFMn-2,MnBrF,1.7384562009721027,4.317023442005515,4.3444647789001465,TP,0.08590370462128612,-1.4930562805458478,4.441566365529569,1,Yes,6,3,1,0,1,0,0,0,0,1,0,0,1,2.83,3.98,1.55,2.4299999999999997,3.3333333333333335,4.0,13.666666666666666,0.9899999999999999,51.28014939999999,1
2MoF2O2-1,Mo(OF)2,2.796521028929312,,4.338429927825928,Novel,0.0,-2.411994926407337,3.56363366996378,0,No,10,3,1,0,0,0,1,0,0,1,0,0,1,3.1933333333333334,3.98,2.16,1.8199999999999998,3.0,5.0,13.0,0.9333333333333332,43.645934399999994,0
2ZnAs2Br2O3-1,ZnAs2Br2O3,2.623979389861182,,4.337501049041748,Novel,0.05687731555756392,-1.052052813848737,9.919590269218011,0,No,16,4,0,0,1,0,1,0,0,1,0,0,1,2.5575,3.44,1.65,1.79,3.5,4.0,15.0,0.9949999999999999,59.0585,0
2ClGaS-1,GaSCl,2.9203360445584,4.207422473202726,4.336251735687256,TP,0.0016365960625517317,-0.9007382737666015,5.547838533764207,0,Yes,6,3,0,1,0,0,0,0,1,1,0,0,0,2.516666666666667,3.16,1.81,1.35,3.3333333333333335,4.0,15.333333333333334,1.01,45.74699999999999,1
2BrCdCl-2,CdBrCl,2.977279668334117,4.185995643731957,4.331930637359619,TP,0.029252034463347048,-0.9808430900557648,3.0681280603524597,0,Yes,6,3,0,1,1,0,0,0,0,1,0,0,1,2.6033333333333335,3.16,1.69,1.4700000000000002,4.0,5.0,15.333333333333334,1.1133333333333333,75.92266666666667,1
2HgNa2Cl4-1,Na2HgCl4,3.078401525193922,,4.322085380554199,Novel,0.0660213929432142,-1.265705127623192,5.142039330923085,0,No,14,3,0,1,0,0,0,0,0,1,1,0,1,2.03,3.16,0.93,2.23,4.0,6.0,10.0,1.4666666666666668,86.34425642666667,0
2NiCl2Sb2O3-1,NiSb2Cl2O3,1.2295118722221223,4.289277384828827,4.317495346069336,TP,0.023820407867993776,-1.0788901642217574,5.213329885143244,1,Yes,16,4,0,1,0,0,1,0,0,1,0,0,1,2.64,3.44,1.91,1.53,3.5,5.0,14.5,1.0225,57.97645,1
2AgPO3-1,AgPO3,2.5681036512984927,4.204461043762787,4.316504001617432,TP,0.05287866089575104,-1.4618032645646069,2.0772447502425244,0,Yes,10,3,0,0,0,0,1,0,0,0,0,0,1,2.52,3.44,1.93,1.51,3.3333333333333335,5.0,14.0,1.0366666666666666,51.613787333333335,1
1PdNa2H6O6-1,Na2H6PdO6,2.4676218993575696,4.355284496193546,4.312764644622803,TP,0.004293085620863242,-1.1028223119390859,3.7077133266115823,0,Yes,15,4,0,0,0,0,1,0,0,0,1,0,1,2.1925,3.44,0.93,2.51,2.75,5.0,7.0,1.15,36.60427732,1
6ClCu-2,CuCl,2.224892251373486,,4.309940338134766,Novel,0.028795581021892797,-0.4225926560963102,3.7778871492516863,0,No,12,2,0,1,0,0,0,0,0,1,0,0,1,2.5300000000000002,3.16,1.9,1.2600000000000002,3.5,4.0,14.0,1.12,49.4995,0
2ClIMn-1,MnICl,1.531201053820504,4.269096292690797,4.309108734130859,TP,0.012718103907728207,-0.7270364052865398,5.448289197519892,1,Yes,6,3,0,1,0,1,0,0,0,1,0,0,1,2.4566666666666666,3.16,1.55,1.61,4.0,5.0,13.666666666666666,1.1833333333333333,72.43183833333333,1
2CaSn2Cl6-1,Ca(SnCl3)2,3.5193838007376854,4.425992846897332,4.308350086212158,TP,0.04529178831341972,-1.4397223443312197,9.141457338505491,0,Yes,18,3,0,1,0,0,0,0,0,1,0,1,0,2.04,3.16,1.0,2.16,4.0,5.0,11.0,1.3933333333333333,64.747,1
2BrClHg-1,HgBrCl,2.9838395540782225,4.169145173423996,4.302558898925781,TP,0.0,-0.6026262863384352,3.1123843065135546,0,Yes,6,3,0,1,1,0,0,0,0,1,0,0,1,2.706666666666667,3.16,2.0,1.1600000000000001,4.333333333333333,6.0,15.333333333333334,1.1466666666666667,105.31566666666667,1
1CoF2-1,CoF2,0.5971911522551561,,4.302138805389404,Novel,0.0,-1.8011961221931585,1.9814764322972298,1,Unknown,3,2,1,0,0,0,0,0,0,1,0,0,1,2.9299999999999997,3.98,1.88,2.1,3.0,4.0,13.0,0.97,38.9657991,0
2Ga2O3-1,Ga2O3,2.642370889629873,4.238227342795238,4.299572944641113,TP,0.04953746974075983,-1.7630117705344652,5.422038865892633,0,Yes,10,2,0,0,0,0,1,0,0,0,0,0,0,2.625,3.44,1.81,1.63,3.0,4.0,14.5,0.92,42.8612,1
2CoF3-3,CoF3,0.306072674036808,,4.296130180358887,Novel,0.08009561972977775,-1.81034531544464,4.769353282692759,1,Unknown,8,2,1,0,0,0,0,0,0,1,0,0,1,2.9299999999999997,3.98,1.88,2.1,3.0,4.0,13.0,0.97,38.9657991,0
4ClCu-1,CuCl,2.1393509470341368,,4.29604959487915,Novel,0.019251895518523465,-0.4321363415996795,3.3175617382978153,0,No,8,2,0,1,0,0,0,0,0,1,0,0,1,2.5300000000000002,3.16,1.9,1.2600000000000002,3.5,4.0,14.0,1.12,49.4995,0
2KC3H3O3-1,KH3(CO)3,2.6471629423516605,,4.294483661651611,Novel,0.1386975539934408,-0.9010870878730465,11.164512156905632,0,No,20,4,0,0,0,0,1,0,0,0,1,0,0,2.2525,3.44,0.82,2.62,2.25,4.0,8.0,1.0274999999999999,17.029085,0
4BrGaS-1,GaSBr,2.909119115582355,4.074083811391179,4.29164457321167,TP,0.0,-0.7743910695218533,4.869181242549109,0,Yes,12,3,0,0,1,0,0,0,1,1,0,0,0,2.45,2.96,1.81,1.15,3.6666666666666665,4.0,15.333333333333334,1.06,60.564,1
2AlBrSe-1,AlSeBr,3.125911935574108,4.25960175777055,4.2905354499816895,TP,0.003127315505837558,-1.0018170224677914,5.897944733151876,0,Yes,6,3,0,0,1,0,0,0,0,1,0,0,0,2.3733333333333335,2.96,1.61,1.3499999999999999,3.6666666666666665,4.0,15.333333333333334,1.05,61.94851286666667,1
2KSHg2Br3O3-1,KHg2S(BrO)3,2.806876878956912,,4.288955211639404,Novel,0.04940839463494413,-1.0510160893049103,11.195132133119666,0,No,20,5,0,0,1,0,1,0,1,1,1,0,1,2.36,3.44,0.82,2.62,3.8,6.0,12.4,1.2880000000000003,73.53133999999999,0
2HKO-1,KHO,2.867001500725556,4.500784143665869,4.281713008880615,TP,0.013020629440281558,-1.3555040623207038,4.877669304871189,0,Yes,6,3,0,0,0,0,1,0,0,0,1,0,0,2.1533333333333333,3.44,0.82,2.62,2.3333333333333335,4.0,6.0,1.1466666666666667,18.70188,1
2MoZnO4-1,ZnMoO4,2.9151884501885874,4.852601609005363,4.281014442443848,TP,0.05432720881770899,-1.8449175394677013,4.466919236730821,0,Yes,12,3,0,0,0,0,1,0,0,0,0,0,1,2.4166666666666665,3.44,1.65,1.79,3.6666666666666665,5.0,11.333333333333334,1.2666666666666666,59.11613333333333,1
1MoAu2O4-2,Mo(AuO2)2,2.6401248858912334,4.110435664334385,4.279015064239502,TP,0.10932466723028865,-1.040152913479721,2.358475191079691,0,Yes,7,3,0,0,0,0,1,0,0,0,0,0,1,2.7133333333333334,3.44,2.16,1.2799999999999998,4.333333333333333,6.0,11.0,1.373333333333333,102.96865633333333,1
1MgI2-1,MgI2,3.2728220824909773,4.200995867411706,4.278937339782715,TP,0.0012461386178583094,-1.0803931844256256,3.3486353133357305,0,Yes,3,2,0,0,0,1,0,0,0,1,0,1,0,1.985,2.66,1.31,1.35,4.0,5.0,9.5,1.2999999999999998,75.604735,1
2RbSHg2Br3O3-1,RbHg2S(BrO)3,2.863563796679687,4.023953370268568,4.278395652770996,TP,0.034381907696268144,-1.0532008755147513,11.387324882710844,0,Yes,20,5,0,0,1,0,1,0,1,1,1,0,1,2.36,3.44,0.82,2.62,4.0,6.0,12.4,1.332,82.80524,1
1InKI4O12-1,KIn(IO3)4,2.896870931300356,,4.278346538543701,Novel,0.015151084185885585,-0.5162416310037395,6.94012349507989,0,No,18,4,0,0,0,1,1,0,0,1,1,0,0,2.175,3.44,0.82,2.62,4.0,5.0,11.75,1.4050000000000002,74.2050425,0
2TlF3-3,TlF3,2.6541757796836256,,4.274996757507324,Novel,0.037589177300702215,-1.8712982033848617,2.7860211865318814,0,No,8,2,1,0,0,0,0,0,0,1,0,0,0,2.8,3.98,1.62,2.36,4.0,6.0,15.0,0.99,111.6908516,0
2V2O5-1,V2O5,2.062259099069487,4.472256196475773,4.271668910980225,TP,0.0,-2.2774234534585185,4.458687274474157,0,Yes,14,2,0,0,0,0,1,0,0,0,0,0,1,2.535,3.44,1.63,1.81,3.0,4.0,10.5,1.095,33.47045,1
1ZrLi2H6S6-1,Li2Zr(HS)6,2.7128316897812583,,4.268995761871338,Novel,0.06374019922200762,-0.6457461686048428,4.525080822304924,0,No,15,4,0,0,0,0,0,0,1,0,1,0,1,1.7725,2.58,0.98,1.6,2.75,5.0,5.5,1.285,32.809485,0
2V2O5-2,V2O5,2.0333964383924625,,4.267786026000977,Novel,0.0015675385204555628,-2.275855914938063,4.814615717442532,0,No,14,2,0,0,0,0,1,0,0,0,0,0,1,2.535,3.44,1.63,1.81,3.0,4.0,10.5,1.095,33.47045,0
2HKSe-1,KHSe,2.9466669282289404,3.864920103453308,4.266409873962402,TP,0.0,-0.6675443834241506,4.71191368224425,0,Yes,6,3,0,0,0,0,0,0,0,0,1,0,0,1.8566666666666667,2.55,0.82,1.73,3.0,4.0,6.0,1.33,39.68874666666667,1
2BrIMg-2,MgIBr,3.1522808383504306,4.10814567088049,4.263221740722656,TP,0.061633469234428105,-1.2453534909134552,5.03456921159995,0,Yes,6,3,0,0,1,1,0,0,0,1,0,1,0,2.31,2.96,1.31,1.65,4.0,5.0,12.0,1.18,77.03782333333334,1
1MnBr2-1,MnBr2,1.476963132838237,4.28890433587714,4.2628583908081055,TP,0.0,-0.7825214242612434,3.0207441669307196,1,Yes,3,2,0,0,1,0,0,0,0,1,0,0,1,2.255,2.96,1.55,1.41,4.0,4.0,12.0,1.275,67.42102249999999,1
1CdH2S2-1,Cd(HS)2,3.155723490807244,4.206439510894029,4.262402534484863,TP,0.001146715718113489,-0.37381154194320276,3.9912338352814274,0,Yes,5,3,0,0,0,0,0,0,1,0,0,0,1,2.1566666666666667,2.58,1.69,0.8900000000000001,3.0,5.0,9.666666666666666,1.0066666666666666,48.494646666666675,1
2BrCdF-1,CdBrF,2.103379301128411,,4.2608962059021,Novel,0.07173545373801875,-1.5278356314134,6.3251581560744246,0,No,6,3,1,0,1,0,0,0,0,1,0,0,1,2.876666666666667,3.98,1.69,2.29,3.6666666666666665,5.0,15.333333333333334,0.9899999999999999,70.43780106666667,0
