uid,formula,gap_hse,gap_pbe,is_uwbg,ehull,hform,thickness,natoms,is_magnetic,dyn_stab,a_lat,b_lat,lgnum,n_species,has_F,has_Cl,has_Br,has_I,has_O,has_N,has_S,has_halide,has_alkali,has_alkaline_earth,has_transition_metal,mean_en,max_en,min_en,range_en,mean_period,max_period,mean_group,mean_cov_radius,mean_atomic_mass,dyn_stab_yes,ab_ratio
1AgBiAs2Se6-1,AgBiAs2Se6,1.323197814241444,0.6189847513857725,0,0.06760768987837418,-0.10164359750533976,3.7100990152387094,10,0,Yes,6.798751679396314,6.79979676290968,65,4,0,0,0,0,0,0,0,0,0,0,1,2.17,2.55,1.93,0.6199999999999999,4.75,6.0,14.25,1.3125,117.68255,1,0.9998463066544773
1BiCuAs2Se6-1,BiCuAs2Se6,1.3737279991030267,0.38734120160657204,0,0.09038568030288693,-0.10003271863266931,3.7554226594669426,10,0,Yes,6.702858671057224,6.703320388948467,65,4,0,0,0,0,0,0,0,0,0,0,1,2.1624999999999996,2.55,1.9,0.6499999999999999,4.5,6.0,14.25,1.2625,106.602,1,0.9999311210169808
1AgCrAs2Te6-1,AgCrAs2Te6,0.7600818349131009,0.24857888109651904,0,0.056646846821795147,-0.040057681576966785,3.9732140428891913,10,1,Yes,7.240487039892818,7.240738482148415,10,4,0,0,0,0,0,0,0,0,0,0,1,1.9674999999999998,2.18,1.66,0.5200000000000002,4.5,5.0,12.0,1.42,90.596475,1,0.999965273948753
1AlNaP2Se6-1,AlNaP2Se6,3.0239012058748087,2.1325624395299947,0,2.6645352591003756e-16,-0.4824163793732154,3.3703933640371346,10,0,Yes,6.704914428822921,6.7049144288229785,10,4,0,0,0,0,0,0,0,0,1,0,0,1.82,2.55,0.93,1.6199999999999997,3.25,4.0,11.25,1.2725000000000002,39.976267469999996,1,0.9999999999999913
1AlNaAs2S6-1,AlNaAs2S6,2.510402898168281,1.645481198070581,0,0.09016253936660794,-0.4603520676327271,3.291452395829104,10,0,Yes,6.577309005020161,6.577309005020189,10,4,0,0,0,0,0,0,1,0,1,0,0,1.8250000000000002,2.58,0.93,1.65,3.25,4.0,11.25,1.275,39.23947697,1,0.9999999999999957
1GaLiP2S6-1,GaLiP2S6,2.9968239098509786,2.0454524658997015,0,0.0,-0.5299297013424329,3.014026192686444,10,0,Yes,6.279576987712896,6.2795769877128995,10,4,0,0,0,0,0,0,1,0,1,0,0,1.8900000000000001,2.58,0.98,1.6,3.0,4.0,11.25,1.2225,34.9256905,1,0.9999999999999994
1AgSbP2Se6-1,AgP2SbSe6,1.9684279481602769,1.2317973484591351,0,0.0,-0.15223967411788805,3.557831743476921,10,0,Yes,6.696828377693409,6.696734150173817,65,4,0,0,0,0,0,0,0,0,0,0,1,2.1799999999999997,2.55,1.93,0.6199999999999999,4.25,5.0,14.25,1.2475,84.8904905,1,1.0000140706675045
1CoLiP2S6-1,CoLiP2S6,2.395201501582965,1.0199920791808204,0,0.0,-0.4566718745375688,3.071977564270826,10,0,Yes,5.838185821336035,5.8382235370844136,67,4,0,0,0,0,0,0,1,0,1,0,1,1.9075,2.58,0.98,1.6,3.0,4.0,10.25,1.2625,32.22823925,1,0.9999935398588048
1AgBiAs2Te6-1,AgBiAs2Te6,0.5278279564144865,0.013535989111811197,0,0.09766001241427444,0.02179807372880731,3.8059299149934755,10,0,Yes,7.264772915419093,7.265072109785406,65,4,0,0,0,0,0,0,0,0,0,0,1,2.0575,2.18,1.93,0.2500000000000002,5.0,6.0,14.25,1.3624999999999998,129.84255000000002,1,0.9999588174264769
1InNaP2Se6-1,InNaP2Se6,2.6095134623359404,1.7763161580294242,0,0.0,-0.4033093741634481,3.392630736999857,10,0,Yes,6.924420909716709,6.924420909716755,10,4,0,0,0,0,0,0,0,0,1,0,0,1.8625,2.55,0.93,1.6199999999999997,3.75,5.0,11.25,1.3675,61.93538282,1,0.9999999999999933
1InNaP2S6-1,InNaP2S6,3.385814365235935,2.3838723861629925,0,1.7763568394002506e-16,-0.5289189342345552,3.1668169934199337,10,0,Yes,6.629550760670264,6.629550760670271,10,4,0,0,0,0,0,0,1,0,1,0,0,1.87,2.58,0.93,1.65,3.5,5.0,11.25,1.3299999999999998,50.21163282,1,0.9999999999999989
1CuSbAs2Se6-1,CuAs2SbSe6,1.2573446799567836,0.5094599466545398,0,0.09840147843488456,-0.060470340803854584,3.936995041321177,10,0,Yes,6.761768474972368,6.763013088593774,65,4,0,0,0,0,0,0,0,0,0,0,1,2.17,2.55,1.9,0.6499999999999999,4.25,5.0,14.25,1.2375,84.7969,1,0.9998159675864734
1AlNaP2S6-1,AlNaP2S6,3.964560037279047,2.9518015097718013,1,2.6645352591003756e-16,-0.6420540578127116,3.157997838193623,10,0,Yes,6.374817943806995,6.374817943807045,10,4,0,0,0,0,0,0,1,0,1,0,0,1.8275000000000001,2.58,0.93,1.65,3.0,3.0,11.25,1.235,28.25251747,1,0.9999999999999922
1InLiP2S6-1,InLiP2S6,3.2885208694275843,2.2933780374639143,0,8.881784197001253e-17,-0.5386510052908328,3.055533941477057,10,0,Yes,6.467179605666756,6.467179605666739,10,4,0,0,0,0,0,0,1,0,1,0,0,1.8824999999999998,2.58,0.98,1.6,3.25,5.0,11.25,1.2725,46.1994405,1,1.0000000000000027
1AlLiP2Se6-1,AlLiP2Se6,2.919466530896653,2.035986041233147,0,0.0,-0.4942500001135251,3.2118436763528706,10,0,Yes,6.554939143726007,6.554939143726088,10,4,0,0,0,0,0,0,0,0,1,0,0,1.8324999999999998,2.55,0.98,1.5699999999999998,3.0,4.0,11.25,1.2149999999999999,35.96407515,1,0.9999999999999877
1CuVP2S6-1,CuVP2S6,1.6581090369542797,0.30625509698015163,0,0.040162227707823475,-0.39129405521984567,3.36498016733292,10,1,Yes,6.029938954431565,6.0296576196410925,10,4,0,0,0,0,0,0,1,0,0,0,1,2.075,2.58,1.63,0.9500000000000002,3.5,4.0,11.75,1.2550000000000001,44.3815655,1,1.0000466585017294
1BiCuP2Se6-1,BiCuP2Se6,2.0601247418606587,1.0086883391795731,0,0.0,-0.1824099701427606,3.627585525197679,10,0,Yes,6.642418822639899,6.643404036881698,65,4,0,0,0,0,0,0,0,0,0,0,1,2.165,2.55,1.9,0.6499999999999999,4.25,6.0,14.25,1.2225,95.6150405,1,0.999851700387884
1BiCuAs2S6-1,BiCuAs2S6,2.2497691121241092,1.0615548564171866,0,0.0908333884679231,-0.11848297631363351,3.740005168660403,10,0,Yes,6.467172240826963,6.4673988702413645,65,4,0,0,0,0,0,0,1,0,0,0,1,2.17,2.58,1.9,0.6800000000000002,4.25,6.0,14.25,1.2249999999999999,94.87825000000001,1,0.9999649581819603
1AgAlP2S6-1,AgAlP2S6,3.1320799879793046,1.9332454299803021,0,0.0,-0.4332364255064839,3.2676678869358025,10,0,Yes,6.082362017001526,6.084051917797125,67,4,0,0,0,0,0,0,1,0,0,0,1,2.0775,2.58,1.61,0.97,3.5,5.0,13.75,1.1725,49.47212515,1,0.9997222408982646
2HSbAs2O6-1,As4H2O12Sb2,4.010763906009757,2.7653345885809544,1,0.09354768279911294,-1.150857538127569,2.86124260280382,20,0,Yes,4.803966554020872,13.169292861516192,9,4,0,0,0,0,1,0,0,0,0,0,0,2.4675000000000002,3.44,2.05,1.3900000000000001,3.0,5.0,11.75,0.87,53.422235,1,0.36478545997402834
1CuInP2S6-1,CuInP2S6,2.8275554527626485,1.5456294664936259,0,0.0,-0.34606805054325634,3.415862682695902,10,0,Yes,6.167028287195178,6.166672277354687,65,4,0,0,0,0,0,0,1,0,0,0,1,2.1125,2.58,1.78,0.8,3.75,5.0,13.75,1.2175,60.3506905,1,1.0000577312729588
