uid,formula,gap_pbe,gap_hse_true,gap_hse_pred,class,ehull,hform,thickness,is_magnetic,dyn_stab,natoms,n_species,has_F,has_Cl,has_Br,has_I,has_O,has_N,has_S,has_halide,has_alkali,has_alkaline_earth,has_transition_metal,mean_en,max_en,min_en,range_en,mean_period,max_period,mean_group,mean_cov_radius,mean_atomic_mass,dyn_stab_yes,s_chem_rf,s_chem_lr
2CaPb2Cl6-1,Ca(PbCl3)2,2.929315233225843,,3.6580910682678223,Novel,0.10192926711853584,-1.4936699702595706,9.749117425319081,0,Unknown,18,3,0,1,0,0,0,0,0,1,0,1,0,2.1633333333333336,3.16,1.0,2.16,4.333333333333333,6.0,11.0,1.4233333333333331,94.24366666666667,0,0.835,0.5269900096054927
2YBr3-5,YBr3,3.4225589664144374,,5.007259368896484,Novel,0.09467094638008833,-1.8686095162756828,3.785322504442899,0,No,8,2,0,0,1,0,0,0,0,1,0,0,1,2.09,2.96,1.22,1.74,4.5,5.0,10.0,1.53,84.40492499999999,0,0.83,0.31139318558433104
2BrKS2H4-1,KH4S2Br,4.08017542698679,,4.996918678283691,Novel,0.037180725870903486,-0.5461672641478943,6.063665926601249,0,No,16,4,0,0,1,0,0,0,1,1,1,0,0,2.1399999999999997,2.96,0.82,2.14,3.0,4.0,8.75,1.1949999999999998,38.01881,0,0.83,0.5173775584691634
2BrFMn-1,MnBrF,2.149414690809425,,4.210629940032959,Novel,0.020349881699369316,-1.5586101034677646,5.7074929828978265,1,No,6,3,1,0,1,0,0,0,0,1,0,0,1,2.83,3.98,1.55,2.4299999999999997,3.3333333333333335,4.0,13.666666666666666,0.9899999999999999,51.28014939999999,0,0.825,0.15961485808010573
4NaSO2-1,NaSO2,2.384531204581524,,3.9572811126708975,Novel,0.14019338887027577,-1.4708969014098896,4.606018908733901,0,No,16,3,0,0,0,0,1,0,1,0,1,0,0,2.316666666666667,3.44,0.93,2.51,2.6666666666666665,3.0,11.0,1.0866666666666667,23.684723093333332,0,0.825,0.8662500872893725
2TlF3-3,TlF3,2.6541757796836256,,4.274996757507324,Novel,0.037589177300702215,-1.8712982033848617,2.7860211865318814,0,No,8,2,1,0,0,0,0,0,0,1,0,0,0,2.8,3.98,1.62,2.36,4.0,6.0,15.0,0.99,111.6908516,0,0.825,0.6056993456862632
2HgLiCl3-1,LiHgCl3,2.620465429007059,,3.9876885414123535,Novel,0.06197416041451724,-1.0663847811936726,3.285909795398222,0,No,10,3,0,1,0,0,0,0,0,1,1,0,1,2.046666666666667,3.16,0.98,2.18,3.6666666666666665,6.0,10.0,1.39,80.99466666666667,0,0.82,0.7005628945892698
2TlF3-4,TlF3,2.927010261205612,,4.352439880371094,Novel,0.04072807316403848,-1.8681593075215255,2.654819115603127,0,No,8,2,1,0,0,0,0,0,0,1,0,0,0,2.8,3.98,1.62,2.36,4.0,6.0,15.0,0.99,111.6908516,0,0.82,0.6151903030968254
2SrF2S2H4-1,SrH4(SF)2,4.891420946757469,,6.474868774414063,Novel,0.07100950692568848,-1.3987661814573242,5.331814011255231,0,No,18,4,1,0,0,0,0,0,1,1,0,1,0,2.4275,3.98,0.95,3.0300000000000002,2.75,5.0,9.0,1.005,34.9228358,0,0.815,0.9420694166333566
1LiTlBr4O12-1,LiTl(BrO3)4,2.3498102280276667,,3.542781114578247,Novel,0.19185915392773406,-0.096592728150818,6.873002600358458,0,Unknown,18,4,0,0,1,0,1,0,0,1,1,0,0,2.25,3.44,0.98,2.46,3.5,6.0,11.75,1.1625,76.80692499999999,0,0.815,0.8800440904716228
1ZrLi2H6O6-1,Li2Zr(HO)6,4.257873579821503,,5.854947090148926,Novel,0.07753268158656894,-1.7035492426239898,3.855101435752678,0,No,15,4,0,0,0,0,1,0,0,0,1,0,1,1.9874999999999998,3.44,0.98,2.46,2.5,5.0,5.5,1.185,28.793085,0,0.81,0.9258047572664526
12BrNa-1,NaBr,4.255338420144827,,5.372064590454102,Novel,0.05145828444858994,-1.5542931774819653,3.219700794931513,0,No,24,2,0,0,1,0,0,0,0,1,1,0,0,1.945,2.96,0.93,2.03,3.5,4.0,9.0,1.42,51.44688464,0,0.81,0.9590358137920758
1NiZrF6-2,ZrNiF6,0.4093029344638825,,5.387038707733154,Novel,0.16216586312454417,-2.909457578124802,2.9258249524351427,0,Yes,8,3,1,0,0,0,0,0,0,1,0,0,1,2.4066666666666667,3.98,1.33,2.65,3.6666666666666665,5.0,10.333333333333334,1.3233333333333333,56.305267733333324,1,0.81,0.7154791905879958
2AlF3-1,AlF3,7.772043739208705,,10.408928871154783,Novel,0.028817375917247645,-3.569883835849183,2.397126314116864,0,No,8,2,1,0,0,0,0,0,0,1,0,0,0,2.795,3.98,1.61,2.37,2.5,3.0,15.0,0.7999999999999999,22.9899709,0,0.8,0.8482344372612581
1BeP2F4O4-1,BeP2(OF)4,6.280248276334114,,8.143732070922852,Novel,-3.2297397080004555e-16,-2.5983824321270608,5.339315565237145,0,No,11,4,1,0,0,0,1,0,0,1,0,1,0,2.795,3.98,1.57,2.41,2.25,3.0,12.5,0.75,18.745936800000003,0,0.795,0.9016888690083735
3YCl3-1,YCl3,4.10322636723094,,5.622369289398193,Novel,0.059974907143965396,-2.284659376595408,4.904129596369859,0,No,12,2,0,1,0,0,0,0,0,1,0,0,1,2.19,3.16,1.22,1.9400000000000002,4.0,5.0,10.0,1.455,62.179425,0,0.79,0.5263431222553061
2HgNa2Cl4-1,Na2HgCl4,3.078401525193922,,4.322085380554199,Novel,0.0660213929432142,-1.265705127623192,5.142039330923085,0,No,14,3,0,1,0,0,0,0,0,1,1,0,1,2.03,3.16,0.93,2.23,4.0,6.0,10.0,1.4666666666666668,86.34425642666667,0,0.785,0.5409613999996271
4BeF2-1,BeF2,8.565901281618878,,10.53572940826416,Novel,0.03541219575115543,-3.266020356634631,2.0431514932792076,0,No,12,2,1,0,0,0,0,0,0,1,0,1,0,2.775,3.98,1.57,2.41,2.0,2.0,9.5,0.77,14.005292599999999,0,0.78,0.9878913318468271
1BeP2H4O4-1,BeP2(HO)4,5.993574927143381,,6.916694641113281,Novel,0.018140419067836012,-1.3478424024739653,5.595197927481481,0,No,11,4,0,0,0,0,1,0,0,0,0,1,0,2.35,3.44,1.57,1.8699999999999999,2.0,3.0,8.5,0.7775,14.248321,0,0.78,0.932275197051921
2MgMoSeO6-1,MgMoSeO6,3.4357732034592905,,4.944087982177734,Novel,0.04267354413585088,-1.8119365833012735,7.794177046551468,0,No,18,4,0,0,0,0,1,0,0,0,0,1,1,2.3649999999999998,3.44,1.31,2.13,3.5,5.0,10.0,1.2149999999999999,53.8011,0,0.775,0.30011699174720924
1MnCl2-3,MnCl2,1.7132180920615607,,3.915535926818848,Novel,0.13648785660647889,-0.9235243344565133,3.1139107807737982,1,No,3,2,0,1,0,0,0,0,0,1,0,0,1,2.355,3.16,1.55,1.61,3.5,4.0,12.0,1.2000000000000002,45.1955225,0,0.775,0.24498298658778514
2IKO2H4-1,KH4IO2,3.467208193195394,,5.57960319519043,Novel,0.05661319405977583,-1.1434831638537855,5.038835490019867,0,No,16,4,0,0,0,1,1,0,0,1,1,0,0,2.28,3.44,0.82,2.62,3.0,5.0,8.75,1.1475,45.75252750000001,0,0.77,0.9314929023808807
2KSHg2Br3O3-1,KHg2S(BrO)3,2.806876878956912,,4.288955211639404,Novel,0.04940839463494413,-1.0510160893049103,11.195132133119666,0,No,20,5,0,0,1,0,1,0,1,1,1,0,1,2.36,3.44,0.82,2.62,3.8,6.0,12.4,1.2880000000000003,73.53133999999999,0,0.77,0.09960512148985189
